,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,scb.co.th,Cambodia,,$5000+,"400,000+","10,000+",High,
,phnompenhpost.com,Cambodia,,$250+,"150,000+",,High,
,smart.com.kh,Cambodia,,$1000+,500+,,Medium,
,ezecom.com.kh,Cambodia,,$2000+,,,-,
,metfone.com.kh,Cambodia,,$5000+,100+,,Medium,
,ufafusion.com,Cambodia,,$500+,,,-,
,sinet.com.kh,Cambodia,,$0+,100+,,-,
,tcb-bank.com.tw,Cambodia,,$100+,,"1,000+",-,
,ababank.com,Cambodia,,$250+,,,-,
,ufacam.com,Cambodia,,$50+,,,-,
,biogsdtw.wo.naaa.gov.kh,Cambodia,,$0+,,,-,
,nagaworld.com,Cambodia,,$2000+,,,-,
,today.com.kh,Cambodia,,$10+,0+,,-,
,beeunion.net,Cambodia,,$0+,,,-,
,soyo.sabay.com,Cambodia,,$5000+,"20,000+",,-,
,acledabank.com.kh,Cambodia,,$250+,,"10,000+",Medium,
,freshnewsasia.com,Cambodia,,$250+,,,Medium,
,riich.me,Cambodia,,$250+,,,Medium,
,foodstem-euproject.itc.edu.kh,Cambodia,,$100+,,,-,
,khmerwebhost.com,Cambodia,,$0+,,,-,
,tax.gov.kh,Cambodia,,$250+,,,-,
,opendevelopmentcambodia.net,Cambodia,$133k+,$500+,"1,000+",,Medium,
,xilnex.com,Cambodia,,$2000+,,,-,
,rasmeinews.com,Cambodia,,$10+,,,Medium,
,news.sabay.com.kh,Cambodia,,$5000+,"20,000+",,Medium,
,oer.moeys.gov.kh,Cambodia,,$250+,"2,000+",,Medium,
,moc.gov.kh,Cambodia,,$100+,,,Medium,
,empiretech.com.kh,Cambodia,,$0+,,,-,
,wingbank.com.kh,Cambodia,,$5000+,,,-,
,kohsantepheapdaily.com.kh,Cambodia,,$50+,,,High,
,pixelcambo.com,Cambodia,,$50+,50+,,-,
,vehicle.mpwt.gov.kh,Cambodia,,$0+,50+,,High,
,kampucheathmey.com,Cambodia,,$10+,100+,,Medium,
,mrcmekong.org,Cambodia,,$100+,500+,,Medium,
,customs.gov.kh,Cambodia,,$250+,,,Medium,
,mlvt.gov.kh,Cambodia,,$100+,,,-,
,cellcard.com.kh,Cambodia,,$5000+,250+,,Medium,
,mekongnet.com.kh,Cambodia,,$0+,,,-,
,camhr.com,Cambodia,,$0+,"1,000+",,Medium,
,realestate.com.kh,Cambodia,,$50+,250+,,Medium,
